Epoch, Total Squared Error,
592, 1.020917,
593, 1.020894,
594, 1.020872,
595, 1.020849,
596, 1.020826,
597, 1.020804,
598, 1.020781,
599, 1.020758,
600, 1.020735,
601, 1.020711,
602, 1.020688,
603, 1.020665,
604, 1.020642,
605, 1.020618,
606, 1.020594,
607, 1.020571,
608, 1.020547,
609, 1.020523,
610, 1.020499,
611, 1.020475,
612, 1.020451,
613, 1.020427,
614, 1.020403,
615, 1.020378,
616, 1.020354,
617, 1.020329,
618, 1.020305,
619, 1.020280,
620, 1.020255,
621, 1.020230,
622, 1.020205,
623, 1.020180,
624, 1.020155,
625, 1.020130,
626, 1.020104,
627, 1.020079,
628, 1.020053,
629, 1.020028,
630, 1.020002,
631, 1.019976,
632, 1.019950,
633, 1.019924,
634, 1.019898,
635, 1.019872,
636, 1.019845,
637, 1.019819,
638, 1.019792,
639, 1.019765,
640, 1.019739,
641, 1.019712,
642, 1.019685,
643, 1.019658,
644, 1.019631,
645, 1.019603,
646, 1.019576,
647, 1.019548,
648, 1.019521,
649, 1.019493,
650, 1.019465,
651, 1.019437,
652, 1.019409,
653, 1.019381,
654, 1.019353,
655, 1.019324,
656, 1.019296,
657, 1.019267,
658, 1.019239,
659, 1.019210,
660, 1.019181,
661, 1.019152,
662, 1.019122,
663, 1.019093,
664, 1.019064,
665, 1.019034,
666, 1.019005,
667, 1.018975,
668, 1.018945,
669, 1.018915,
670, 1.018885,
671, 1.018855,
672, 1.018824,
673, 1.018794,
674, 1.018763,
675, 1.018732,
676, 1.018701,
677, 1.018670,
678, 1.018639,
679, 1.018608,
680, 1.018577,
681, 1.018545,
682, 1.018514,
683, 1.018482,
684, 1.018450,
685, 1.018418,
686, 1.018386,
687, 1.018353,
688, 1.018321,
689, 1.018288,
690, 1.018256,
691, 1.018223,
692, 1.018190,
693, 1.018157,
694, 1.018124,
695, 1.018090,
696, 1.018057,
697, 1.018023,
698, 1.017989,
699, 1.017955,
700, 1.017921,
701, 1.017887,
702, 1.017853,
703, 1.017818,
704, 1.017784,
705, 1.017749,
706, 1.017714,
707, 1.017679,
708, 1.017644,
709, 1.017608,
710, 1.017573,
711, 1.017537,
712, 1.017501,
713, 1.017465,
714, 1.017429,
715, 1.017393,
716, 1.017357,
717, 1.017320,
718, 1.017283,
719, 1.017246,
720, 1.017209,
721, 1.017172,
722, 1.017135,
723, 1.017097,
724, 1.017059,
725, 1.017022,
726, 1.016984,
727, 1.016945,
728, 1.016907,
729, 1.016868,
730, 1.016830,
731, 1.016791,
732, 1.016752,
733, 1.016713,
734, 1.016673,
735, 1.016634,
736, 1.016594,
737, 1.016554,
738, 1.016514,
739, 1.016474,
740, 1.016434,
741, 1.016393,
742, 1.016352,
743, 1.016312,
744, 1.016270,
745, 1.016229,
746, 1.016188,
747, 1.016146,
748, 1.016104,
749, 1.016062,
750, 1.016020,
751, 1.015978,
752, 1.015935,
753, 1.015892,
754, 1.015849,
755, 1.015806,
756, 1.015763,
757, 1.015720,
758, 1.015676,
759, 1.015632,
760, 1.015588,
761, 1.015544,
762, 1.015499,
763, 1.015455,
764, 1.015410,
765, 1.015365,
766, 1.015319,
767, 1.015274,
768, 1.015228,
769, 1.015182,
770, 1.015136,
771, 1.015090,
772, 1.015044,
773, 1.014997,
774, 1.014950,
775, 1.014903,
776, 1.014856,
777, 1.014808,
778, 1.014760,
779, 1.014712,
780, 1.014664,
781, 1.014616,
782, 1.014567,
783, 1.014518,
784, 1.014469,
785, 1.014420,
786, 1.014371,
787, 1.014321,
788, 1.014271,
789, 1.014221,
790, 1.014170,
791, 1.014120,
792, 1.014069,
793, 1.014018,
794, 1.013967,
795, 1.013915,
796, 1.013863,
797, 1.013811,
798, 1.013759,
799, 1.013707,
800, 1.013654,
801, 1.013601,
802, 1.013548,
803, 1.013494,
804, 1.013441,
805, 1.013387,
806, 1.013333,
807, 1.013278,
808, 1.013223,
809, 1.013169,
810, 1.013113,
811, 1.013058,
812, 1.013002,
813, 1.012946,
814, 1.012890,
815, 1.012834,
816, 1.012777,
817, 1.012720,
818, 1.012663,
819, 1.012606,
820, 1.012548,
821, 1.012490,
822, 1.012432,
823, 1.012373,
824, 1.012314,
825, 1.012255,
826, 1.012196,
827, 1.012136,
828, 1.012076,
829, 1.012016,
830, 1.011956,
831, 1.011895,
832, 1.011834,
833, 1.011773,
834, 1.011711,
835, 1.011649,
836, 1.011587,
837, 1.011525,
838, 1.011462,
839, 1.011399,
840, 1.011336,
841, 1.011272,
842, 1.011209,
843, 1.011144,
844, 1.011080,
845, 1.011015,
846, 1.010950,
847, 1.010885,
848, 1.010819,
849, 1.010753,
850, 1.010687,
851, 1.010620,
852, 1.010554,
853, 1.010486,
854, 1.010419,
855, 1.010351,
856, 1.010283,
857, 1.010214,
858, 1.010146,
